no,id,sex,age,lact,preg,repstat,KFI,fetsex,fetwt,fetleng,lengwt,ID,Male_tel,Male_marsh,Female_tel,Female_marsh,llarvae,mlarvae,aboscore,aboclass,Eimeria,Tstrong,Nemato,Marsh,Moniez
8,75,f,0,n,n,nn,0.828143937,,,,,75,190,150,650,170,16200,0,,,128.25,1,25.25,1.5,0
13,81,f,0,n,n,nn,0.700518235,,,,,81,320,240,610,200,9900,4200,,,135,0.5,9.5,1.25,0
14,84,f,0,n,n,nn,0.906931873,,,,,84,390,200,930,230,19200,8100,,,500,0,36,4.5,0
15,85,f,0,n,n,nn,0.602172598,,,,,85,740,250,3930,360,48000,1300,light,2,86.25,1.25,13.75,2.25,0
16,87,f,0,n,n,nn,1.010140828,,,,,87,270,120,690,210,,,,,450,0,37.25,1.5,0
17,88,f,0,n,n,nn,0.931927711,,,,,88,300,80,510,30,3900,3400,light,2,333.25,0.5,32.5,2.5,0
21,97,f,0,n,n,nn,1.09530424,,,,,97,440,70,1050,100,3300,3500,moderate,3,236.25,0,13.25,1.25,0
25,106,f,0,n,n,nn,0.597938144,,,,,106,1800,320,4350,380,14300,14800,none,1,138.75,0.25,20.75,2,0
29,115,f,0,n,n,nn,0.888822196,,,,,115,460,140,1110,70,8900,1600,moderate,3,375,0,29.25,1.5,0
35,134,f,0,n,n,nn,0.872403366,,,,,134,280,70,560,20,10300,21000,none,1,333.25,0,49.25,3.75,0
141,489,f,0,n,n,nn,0.268251273,,,,,489,40,50,90,10,1400,4500,light,2,0,0,0,0,0
142,549,f,0,n,n,nn,0.945060208,,,,,549,1980,110,4080,110,30400,8100,light,2,118.75,2,2.75,2.5,0
5,67,f,1,n,n,nn,0.671307779,,,,,67,1410,930,3870,1090,24700,6500,light,2,115,1.75,17.5,1.25,0
11,79,f,1,n,n,nn,0.592386354,,,,,79,240,240,2220,160,26200,1300,none,1,45,0,0.25,0,0
12,80,f,1,n,n,nn,1.020531535,,,,,80,3180,280,6340,360,25800,5800,light,2,312.5,2.5,5,4.5,0
20,95,f,1,n,n,nn,0.510192984,,,,,95,770,70,2900,50,17500,5600,light,2,44.25,0.5,14.5,2,0
24,105,f,1,n,n,nn,0.800760582,,,,,105,,,,,13700,3500,moderate,3,95,0.75,9.5,5.25,0
37,139,f,1,n,n,nn,1.02416431,,,,,139,200,80,1070,10,10000,17600,moderate,3,130,0.5,2.25,1,0
52,164,f,1,n,n,nn,0.72353077,,,,,164,560,260,2810,190,8200,2800,light,2,212.5,0,7.75,3.25,0
53,165,f,1,n,n,nn,0.63207094,,,,,165,480,150,3570,110,8000,9000,moderate,3,333.25,0,34,1,0
54,167,f,1,n,n,nn,1.203639686,,,,,167,1810,80,4630,120,12300,2800,,,245,1.5,40.5,12,0
112,290,f,1,n,n,nn,0.502553272,,,,,290,1090,350,5290,490,23800,5000,moderate,3,333.25,0,0.5,4,0
